ID,Title,Price,Description
22,PC PORTABLE LENOVO IP1 / ATHLON SILVER 7120U / 8G 256SSD /  GREY /  Windows 11 AVEC SACOCHE OFFERT,"799,000 DT","‎Écran 15.6"" HD (1366 x 768) - Processeur AMD Athlon Silver 7120U, jusqu'à 3.5 Ghz, 3 Mo de cache - Mémoire 8 Go LPDDR5-5500 MHz - Disque SSD 256 Go M.2 PCIe 4.0 NVMe - Carte Graphique AMD Radeon 610M - 2x Haut-parleurs 1.5W - Caméra HD 720p avec obturateur de confidentialité - Wi-Fi - Bluetooth 5.1 - 2x USB 3.2 - 1x USB-C 3.2 - 1x HDMI 1.4b - 1x Ethernet (RJ-45) - 1x Jack (3.5 mm) - Couleur Noir -   Windows 11 - Garantie 2 ans + Sacoche Lenovo T210 Offerte"
23,Pc Portable HP 15-FD0028NK / 8 Go / Gold / Windows 11 AVEC SACOCHE OFFERTE,"799,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ), antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 4 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Gold - Windows 11 - Garantie 1 an Avec SACOCHE Offerte"
24,PC PORTABLE HP 15-FD0038NK / INTEL N100 / 8 GO / WINDOWS 11,"809,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ) antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 8 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur : Diamant Blanc - Windows 11 - Garantie 1 an"
25,Pc Portable HP 15-fd0029nk / Intel N100 / 4 Go / Windows 11 / Bleu + Sac à dos HP Offert,"809,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ) antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 4 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Gris ardoise - Windows 11 - Garantie 1 an + Sac à dos HP Offert"
26,PC PORTABLE HP 15-FD0038NK / INTEL N100 / 8 GO / WINDOWS 11 + SACOCHE OFFERTE,"819,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ) antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 8 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur : Diamant Blanc - Windows 11 - Garantie 1 an
+ SACOCHE OFFERTE"
27,Pc Portable HP 15-fd0029nk / Intel N100 / 16 Go / Windows 11 / Bleu,"829,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ) antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 16 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Gris ardoise - Windows 11 - Garantie 1 an"
28,Pc Portable HP 15-fd0030nk / 16 Go / Windows 11 / Gris,"829,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ) antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 16 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Gris ardoise - Windows 11 - Garantie 1 an"
29,Pc Portable HP 15-FD0028NK / 16 Go / Gold / Windows 11,"829,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ), antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 16 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Gold - Windows 11 - Garantie 1 an"
30,Pc Portable HP 15-fd0029nk / Intel N100 / 16 Go / Windows 11 / Bleu AVEC SACOCHE OFFERTE,"839,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ) antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 16 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Gris ardoise - Windows 11 - Garantie 1 an Avec SACOCHE Offerte"
31,"Pc Portable HP 15-fd0030nk / 16 Go / Windows 11 / Gris Avec Sac pour Pc Portable 15.6"" Noir","839,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ) antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 16 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Gris ardoise - Windows 11 - Garantie 1 an Avec Sac pour Pc Portable 15.6"" Noir"
